country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,48.80934633597943,0.002095533825903559,0.0010499671546404163,0.5,99.392741,29.333649016482717,0.0,0.0
Albania,earthquake,20.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,157.55183326817667,0.006764179828878606,0.003405122777243992,0.5,99.392741,94.68617234042622,0.0,0.0
Albania,earthquake,50.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,333.8289176586281,0.014332291692723641,0.007270346574170019,0.5,99.392741,200.62592591886644,0.0,0.0
Albania,earthquake,100.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,621.2596039573461,0.02667256606549561,0.013701743696710813,0.5,99.392741,373.36724497722497,0.0,0.0
Albania,earthquake,250.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,1231.286817411501,0.052862891412519555,0.0279066731380407,0.5,99.392741,739.9840000304779,0.0,0.0
Albania,earthquake,500.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,1970.0047032929706,0.08457829909302525,0.04619635901641145,0.5,99.392741,1183.9418239579786,0.0,0.0
Albania,earthquake,1000.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,3000.794855904878,0.12883325832435338,0.0739429389123309,0.5,99.392741,1803.4304837369666,0.0,0.0
Albania,earthquake,1500.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,3757.415305202292,0.16131727755212827,0.09617300633145864,0.5,99.392741,2258.1474665379296,0.0,0.0
Albania,earthquake,2000.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,2.650589121277293e-11,1.1379786002407857e-15,5.689893001203934e-16,0.5,99.392741,1.5929623485480194e-11,0.0,0.0
Albania,flood,1.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,13.565330252190968,0.0005799799693853371,0.000290158270677613,0.5,99.392741,8.118661053445024,0.0,0.0
Albania,flood,20.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,296.15865958457215,0.012662138490238402,0.006412262197094533,0.5,99.392741,177.24682927062588,0.0,0.0
Albania,flood,50.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,662.1719044798032,0.02831088029176426,0.014567869351189722,0.5,99.392741,396.30065406755693,0.0,0.0
Albania,flood,100.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,846.0752384800326,0.03616526228047861,0.01876113241469556,0.5,99.392741,506.24766692428665,0.0,0.0
