country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.0804176835697958,109.34870158360715,314497909.9733141,1.8633769176021077e-06,5.3592602160923395,0.0,0.086087198,56795.852,109.34870158360718,118.14227086632573,118.14227086632573,109.34870158360715,1.8633769176021077e-06,0.004686977053913064,1.0000000000000002,0.0,65.60912458118509,0.0,306540.67509679444,3.3905653622547867,0.0,0.19179090180000005,2.1059999999999994,2.1059999999999994,153.5010717352046,441484585.91869366,0.01351340514578464,0.7123644177041185,0.009626468987876714
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,2,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878927,1.1469384595538974,57.8921694472254,2350772442.9668455,8.646988071316813e-07,35.11200472672702,30.358141144166304,0.15218446000000002,69605.90009999998,57.89216944722538,66.3987556460339,66.39875564603389,57.8921694472254,8.646988071316813e-07,0.00886564477349066,0.9999999999999998,30.358141144166304,77.12780118273088,30.358141144166304,240925.51868819213,3.38701467529227,2.4000000000000004,0.15626269645967916,0.9503924000000001,0.8591547296000002,96.64368347402785,3924318436.6179156,0.00694220485154159,0.5990269344688566,0.004158567690673782
Angola,5984.6404219999995,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,2,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1.0,0.12735853573367692,1.239043253931658,8.785673510622729,253145678.6284081,8.192904511314674e-07,23.606595099929844,0.0,0.18571632000000005,29923.20211,8.785673510622729,10.885829494583161,10.885829494583161,8.785673510622729,8.192904511314674e-07,0.0015207068703416513,0.9999999999999998,0.0,3.0590929545991505,0.0,69203.0127047263,3.3975620991534314,0.0,0.13004843279721207,3.0999999999999988,3.0999999999999988,25.808807543272003,743641121.2221887,0.004312507640124349,0.34041377137988044,0.0014680369898792778
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.1541967379,1.1345106039205037,80.42332411430867,3526356074.4694624,7.099461900582352e-07,31.129315872345167,7.568936556889214,0.050750804000000004,92447.17444999999,80.42332411430868,91.24111401021875,91.24111401021875,80.42332411430867,7.099461900582352e-07,0.003040221125954212,0.9999999999999998,7.568936556889214,25.80319280757687,7.568936556889215,342969.17391738243,3.3953601692104316,3.2000000000000006,0.1616266216,2.289462949999999,1.9964116923999993,121.43233562473876,5324495836.042239,0.006567660739615973,0.662289197523468,0.004349690760846649
Armenia,8190.239289,8174.366731999998,2924816,0.079,0.62558,3606.152057,2,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3524222720091001,1.1968691108828242,57.587554425081194,168433000.58334824,1.4785123849909345e-06,4.324376679819645,1.5870614759147137,0.020931459799999996,40951.19644499999,57.587554425081194,68.92476506266317,68.92476506266317,57.587554425081194,1.4785123849909345e-06,0.011008806578264241,0.9999999999999998,1.5870614759147137,9.335655740674785,1.5870614759147137,111676.23202299676,3.3813112346018226,1.6000000000000003,0.40256331958,1.2499999999999998,1.1699999999999997,74.56887648925287,218100243.05779064,0.009104602913055728,0.7722733281811067,0.007031241993432947
Australia,44260.57597000001,44414.02948000001,24127159,0.073,0.89554,49927.81951,2,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22769110058000006,1.1371121599074026,88.44810817563014,2134001569.2026281,1.6965551672545911e-07,4.0933056272623105,12.410819774751516,0.6593659199999999,221302.87985000003,88.44810817563014,100.57541932731438,100.57541932731438,88.44810817563014,1.6965551672545911e-07,0.0012708045199852393,0.9999999999999998,12.410819774751516,16.923845147388427,12.410819774751516,808848.4868656059,3.3981323636765723,3.9999999999999996,0.2823365920000001,2.854399999999999,2.397696,107.53842672851887,2594596720.2888246,0.0024296662294094147,0.8224790976244956,0.001998349687893366
Austria,44438.72481999998,44143.70016,8747358,0.079,0.66032,44176.51522,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.4837075332999999,1.1105862141427054,97.96039111741766,856894610.9240724,1.7844112694716935e-07,1.5608884193303374,39.2259712232828,0.6452541399999999,222193.62409999996,97.96039111741767,108.7934599070316,108.79345990703162,97.96039111741766,1.7844112694716935e-07,0.0021973804682322456,0.9999999999999998,39.2259712232828,56.10507119680811,39.2259712232828,956582.7516675899,3.396832155683104,3.9999999999999996,0.4944901699999999,1.528,1.2835199999999998,113.74768475963812,994991720.2636986,0.0025596523127154433,0.8612077803993917,0.0022043924868278366
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14815265559800003,1.1474509922270306,74.13040070628016,12079664438.513449,7.642745482818907e-06,1245.3972991082937,18.24924740978018,0.08737927799999998,16596.767780000002,74.13040070628014,85.06100184460853,85.06100184460853,74.13040070628016,7.642745482818907e-06,0.017334924936100768,1.0,18.249247409780175,44.028949214495704,18.249247409780182,57287.737253500105,3.3746000212091047,3.2000000000000006,0.13804606460000002,2.3566042902633697,2.0549589411096583,99.4492009896152,16205402442.011341,0.029960412264566607,0.7454097164040673,0.022332782409479533
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.3864445367538237,1.0,0.43562942058399995,1.209545948170612,57.82007098739184,549702353.2856528,5.109370994396535e-07,4.857540316824716,9.945469964184802,0.172373852,83760.49385,57.82007098739184,69.93603258573694,69.93603258573694,57.82007098739184,5.109370994396535e-07,0.005079364424880539,0.9999999999999998,9.9454699641848,24.472790069080855,9.9454699641848,216746.48205301925,3.392419545436617,3.2000000000000006,0.4684550397999999,1.8799999999999992,1.6393599999999995,75.37032855048102,716554757.9688491,0.004499157364416676,0.7671463306500715,0.0034515120631295
Belgium,42094.579050000015,41945.69212,11348159,0.086,0.97897,41096.1573,2,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.48314774690999995,1.1005808610498713,24.834917022273196,281830587.12056273,5.2152547327179064e-08,0.591835399323853,0.0,0.5792287,210472.89525000003,24.834917022273203,27.332834360475545,27.332834360475545,24.834917022273196,5.2152547327179064e-08,0.00045869702534638557,0.9999999999999998,0.0,8.537749154957634,0.0,971301.9583737914,3.39907686846634,0.0,0.5101755720000001,1.5400000000000003,1.5400000000000003,30.662427246619554,347962099.7205709,0.0007284174812675682,0.8099462192775745,0.0005899789850083603
