country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.0804176835697958,109.29888932387213,314354644.88327795,1.8625275171337178e-06,5.356817254555802,0.0,0.086087198,56795.852,109.29888932387213,118.08845282004938,118.08845282004938,109.29888932387213,1.8625275171337178e-06,0.004684841967579156,1.0,0.0,65.57923726924358,0.0,306540.6750967944,3.390569588824206,0.0,0.19179090180000002,2.1059999999999994,2.1059999999999994,153.431099910933,441283339.8849343,0.013507245204362195,0.7123646339452713,0.009622083785614495
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,2,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878927,1.1469384595538974,57.81974373705297,2347831520.813447,8.635384341329517e-07,35.06488656040121,30.323205730159295,0.15218446000000002,69605.90009999998,57.81974373705295,66.31568781357662,66.31568781357663,57.81974373705297,8.635384341329517e-07,0.008855015927648233,0.9999999999999998,30.323205730159295,77.03533419021299,30.3232057301593,240925.5186881921,3.387029213793623,2.4000000000000004,0.15626269645967916,0.9503924000000001,0.8591547296000002,96.51399355208495,3919052240.9036264,0.006932888836537361,0.5990814555388783,0.0041533651352820425
Angola,5984.6404219999995,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,2,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1.0,0.12735853573367692,1.239043253931658,8.786108876009777,253158223.01287937,8.193310556001735e-07,23.607765055286546,0.0,0.18571632000000005,29923.20211,8.786108876009777,10.886368931128976,10.886368931128976,8.786108876009777,8.193310556001735e-07,0.0015207822274710043,0.9999999999999998,0.0,3.059244544933867,0.0,69203.01270472628,3.397561979191923,0.0,0.13004843279721207,3.0999999999999988,3.0999999999999988,25.810086641443824,743677976.4700359,0.00431272137028717,0.34041376916192634,0.0014681097370046433
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.0103,0.23393000000000005,14353.37881,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086056,1.0,0.13901490701349917,1.2185750325846827,2072.1159773448508,209207045.42066818,2.1248030114188694e-05,2.1452648644188335,27.857744830781044,0.15300000000000002,84052.07052000005,2072.1159773448503,2525.0287946122426,2525.0287946122426,2072.1159773448508,2.1248030114188694e-05,0.1650964983948586,0.9999999999999997,27.857744830781044,100.28788139081175,27.857744830781044,209862.2652881692,2.5286288530776004,1.2000000000000002,0.16390495997237436,0.9439571109442396,0.8871606459462303,4404.723613561209,444714110.19598037,0.20961880350172282,0.47043041950810377,0.09861106166810224
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.1541967379,1.1345106039205037,80.21683341862222,3517301988.1446986,7.081230208149197e-07,31.049374586570735,7.549502953609929,0.050750804000000004,92447.17444999999,80.21683341862222,91.00684812635154,91.00684812635154,80.21683341862222,7.081230208149197e-07,0.0030324152141462564,0.9999999999999998,7.549502953609929,25.73694188730658,7.549502953609929,342969.17391738243,3.3953720234242892,3.2000000000000006,0.1616266216,2.289462949999999,1.9964116923999993,121.120492695577,5310822325.034823,0.006550794733109175,0.6622895237079194,0.004338522723699223
Armenia,8190.239289,8174.366731999998,2924816,0.079,0.62558,3606.152057,2,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3524222720091001,1.1968691108828242,57.629091043419734,168554487.54925072,1.479579958648267e-06,4.32749913633379,1.588206187952983,0.020931459799999996,40951.19644499999,57.62909104341973,68.9744789581231,68.9744789581231,57.629091043419734,1.479579958648267e-06,0.011016746984863712,0.9999999999999998,1.5882061879529827,9.3423893408999,1.5882061879529832,111676.23202299676,3.3812983202529328,1.6000000000000003,0.40256331958,1.2499999999999998,1.1699999999999997,74.62271964200895,218257724.37246203,0.009111176976505667,0.7722727249808966,0.007036313471429237
Australia,44260.57597000001,44414.02948000001,24127159,0.073,0.89554,49927.81951,2,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22769110058000006,1.1371121599074026,88.39363947772338,2132687394.2677088,1.6955101001013905e-07,4.090784177125215,12.403176861782208,0.65936592,221302.87985000003,88.39363947772337,100.51348230859026,100.51348230859026,88.39363947772338,1.6955101001013905e-07,0.0012700219247559535,0.9999999999999998,12.403176861782208,16.91342299333937,12.403176861782208,808848.4868656058,3.3981335085652433,3.9999999999999996,0.2823365920000001,2.854399999999999,2.397696,107.4721837441173,2592998465.2715335,0.002428169570521684,0.822479235075204,0.0019971190509955614
Austria,44438.72481999998,44143.70016,8747358,0.079,0.66032,44176.51522,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.4837075332999999,1.1105862141427054,97.81411965078274,855615122.0402317,1.7817041899106523e-07,1.558520439924846,39.172330711618706,0.64525414,222193.62409999996,97.81411965078276,108.63101283266442,108.63101283266442,97.81411965078274,1.7817041899106523e-07,0.0021940994067728434,0.9999999999999998,39.172330711618706,56.021296816612164,39.172330711618706,956582.7516675899,3.396836743359511,3.9999999999999996,0.4944901699999999,1.528,1.2835199999999998,113.57512138380842,993482246.6376277,0.0025557691370273767,0.8612283963160914,0.0022011009552362483
Azerbaijan,16001.323400000005,15994.00974,9762274,0.084,0.54895,3876.936433,2,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.43154867302399996,1.3454862202080695,41.326689345628544,403442464.9049066,4.3295195835005466e-07,4.226595646249821,0.0,0.0571493,80006.617,41.326689345628544,55.604491041362856,55.604491041362856,41.326689345628544,4.3295195835005466e-07,0.006481208391686572,0.9999999999999998,0.0,4.346685440492808,0.0,133740.8401352831,3.3870845733818724,0.0,0.4859833592,1.2499999999999998,1.2499999999999998,59.628204229193656,582106867.8133472,0.0037264545399534666,0.693072848324941,0.002582704462158957
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14815265559800003,1.1474509922270306,74.12561736339845,12078884985.328869,7.642246260804918e-06,1245.3159501023283,18.24822505244576,0.08737927799999998,16596.767780000002,74.12561736339848,85.05551319307276,85.05551319307277,74.12561736339845,7.642246260804918e-06,0.01733380638164797,1.0,18.248225052445765,44.02610819975942,18.24822505244576,57287.737253500105,3.3746015744722,3.2000000000000006,0.13804606460000002,2.3566042902633697,2.0549589411096583,99.44270499540484,16204343909.621012,0.029958455258751838,0.7454103080444536,0.02233134136296219
