country,hazard,rp,gdp_pc_pp,gdp_pc_pp_2015,gdp_pd_pp_2005,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,52.60820173343194,0.002259587527818563,0.0011323524132994683,0.5,567.9585200000001,31.450958239592374,0.0,0.0
Albania,earthquake,20.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,169.81416983112635,0.007293729258064202,0.003673659305391998,0.5,567.9585200000001,101.52064103829213,0.0,0.0
Albania,earthquake,50.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,359.8109862760559,0.015454328225874404,0.00784845673945532,0.5,567.9585200000001,215.1071492778915,0.0,0.0
Albania,earthquake,100.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,620.9964071082252,0.02667256606549561,0.013701743696710813,0.5,567.9585200000001,371.25260745200484,0.0,0.0
Albania,earthquake,250.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,1230.7651823194356,0.052862891412519555,0.0279066731380407,0.5,567.9585200000001,735.7929576838942,0.0,0.0
Albania,earthquake,500.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,1969.170110109449,0.08457829909302525,0.04619635901641145,0.5,567.9585200000001,1177.2363407044284,0.0,0.0
Albania,earthquake,1000.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,2999.5235681116565,0.12883325832435338,0.0739429389123309,0.5,567.9585200000001,1793.2164067756398,0.0,0.0
Albania,earthquake,1500.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,3755.8234748903437,0.16131727755212827,0.09617300633145864,0.5,567.9585200000001,2245.358012094723,0.0,0.0
Albania,earthquake,2000.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,2.6494661982663797e-11,1.1379786002407857e-15,5.689893001203934e-16,0.5,567.9585200000001,1.5839402985320683e-11,0.0,0.0
Albania,flood,1.0,11359.170400000003,10971.29252,10397.28739,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.18390796341149998,1.118347494599629,14.340916086956677,0.0006132158939594278,0.00030679607921169094,0.5,567.9585200000001,8.53528674385606,0.0,0.0
