<<<<<<< HEAD
country,vp,vr,v
Afghanistan,0.3,0.554908896588,0.530947460309
Albania,0.566,0.385,0.4010185
Algeria,0.5503924,0.1,
American Samoa,0.3,0.2755,
Andorra,0.105,0.1,
Angola,0.3,0.7,0.6784
Antigua and Barbuda,0.3,0.2175,
Arab World,,,
Argentina,0.7,0.3973657375,0.411226386722
Armenia,0.3,0.2375,0.24298125
Aruba,0.605685096709,0.7,
Australia,0.3,0.6386,0.61479642
Austria,0.3,0.307,0.3064078
Azerbaijan,0.3,0.2375,0.24258125
"Bahamas, The",0.3,0.5735,
Bahrain,0.664,0.63625,
Bangladesh,0.3,0.514151072566,0.495134457322
Barbados,0.3,0.2715,
Belarus,0.3,0.395,0.3860985
Belgium,0.3,0.31,0.309165
Belize,0.3,0.3105,
Benin,0.593739601658,0.7,0.693475611542
Bermuda,0.3,0.6265,
Bhutan,0.674331232286,0.680307768572,0.679904352373
Bolivia,0.3,0.488854211679,0.482584251851
Bosnia and Herzegovina,0.3,0.5420235935,0.523944431066
Botswana,0.466403415957,0.7,0.693365857013
Brazil,0.502651539985,0.7,0.693309887205
Brunei Darussalam,0.3,0.246692046881,
Bulgaria,0.3,0.4853306138,0.473450921455
Burkina Faso,0.593739601658,0.7,0.692859301231
Burundi,0.3,0.542447212715,0.520723942455
Cabo Verde,,,
Cambodia,0.3585642,0.2885223625,0.294819123691
Cameroon,0.3,0.38359202402,0.378283930494
Canada,0.3,0.301669114029,0.301550606933
Caribbean small states,,,
Cayman Islands,0.3,0.491375828972,
Central African Republic,0.674850589798,0.641107907847,0.642245036228
Central Europe and the Baltics,,,
Chad,0.593739601658,0.7,0.694814492561
Channel Islands,,,
Chile,0.3,0.1184621,0.12666761308
China,0.5748723,0.56623771375,0.566640948928
Colombia,0.3,0.27948,0.28015716
Comoros,0.3,0.542447212715,0.53626480879
"Congo, Dem. Rep.",0.3,0.7,0.67812
"Congo, Rep.",0.3,0.38359202402,0.378902511472
Costa Rica,0.3,0.421042167331,0.415946292086
Cote d'Ivoire,0.593739601658,0.7,0.694485085326
Croatia,0.3,0.5411874491,0.521868334427
Cuba,0.3,0.14625,
Curacao,,,
Cyprus,0.464900761905,0.1,
Czech Republic,0.454,0.475,0.4730407
Denmark,0.3,0.25,0.254565
Djibouti,0.3,0.372560034233,0.368184664168
Dominica,0.3,0.2945,
Dominican Republic,0.3,0.312249342304,0.311635650255
East Asia & Pacific (all income levels),,,
East Asia & Pacific (developing only),,,
Ecuador,0.605685096709,0.7,0.695944459159
"Egypt, Arab Rep.",0.3,0.65,0.617625
El Salvador,0.3,0.54,0.52632
Equatorial Guinea,0.3,0.426990514063,
Eritrea,0.3,0.7,
Estonia,0.3,0.159531241181,0.169602851188
Ethiopia,0.3,0.372560034233,0.366784255508
Euro area,,,
Europe & Central Asia (all income levels),,,
Europe & Central Asia (developing only),,,
European Union,,,
Faeroe Islands,,,
Fiji,0.3,0.28,0.28124
Finland,0.3,0.3075,0.3068115
Fragile and conflict affected situations,,,
France,0.3,0.307,0.3064533
French Polynesia,0.3,0.5445,
Gabon,0.3,0.426990514063,0.419548869939
"Gambia, The",0.593739601658,0.7,0.694910126919
Georgia,0.3,0.26079795,0.26286781824
Germany,0.3,0.2406888125,0.245605709944
Ghana,0.689595439809,0.7,0.699454801046
Greece,0.3,0.1775972175,0.185492196971
Greenland,0.3,0.2630639,
Grenada,0.3,0.273,
Guam,0.3,0.246692046881,
Guatemala,0.582809055982,0.1,0.118684710467
Guinea,0.7,0.685,0.6861325
Guinea-Bissau,0.662,0.685,0.6833256
Guyana,0.3,0.2955,
Haiti,0.88852025476,0.249415065004,0.264625768521
Heavily indebted poor countries (HIPC),,,
High income,,,
High income: OECD,,,
High income: nonOECD,,,
Honduras,0.3,0.491375828972,0.486380919836
"Hong Kong SAR, China",0.32,0.1,
Hungary,0.3,0.535105,0.5157088375
Iceland,0.3,0.258870375,0.26280236715
India,0.3,0.62221674,0.594699430404
Indonesia,0.3,0.19689565,0.204762511905
"Iran, Islamic Rep.",0.3,0.371831668173,0.36721289191
Iraq,0.3,0.7,0.6648
Ireland,0.3,0.2662639375,0.268834625462
Isle of Man,0.3,0.2688332625,
Israel,0.3,0.65,0.633865
Italy,0.3,0.307,0.3065751
Jamaica,0.3,0.491375828972,0.481137222122
Japan,0.3,0.204777,0.2117949351
Jordan,0.3,0.65,0.621195
Kazakhstan,0.3,0.159531241181,0.172805538889
Kenya,0.3,0.7,0.68064
Kiribati,0.3,0.5445,
"Korea, Dem. Rep.",,,
"Korea, Rep.",0.3,0.209028,
Kosovo,,,
Kuwait,0.3,0.592141659003,
Kyrgyz Republic,0.3,0.249554415085,0.253428636007
Lao PDR,0.3,0.325,0.323095
Latin America & Caribbean (all income levels),,,
Latin America & Caribbean (developing only),,,
Latvia,0.3,0.159531241181,0.168296491731
Least developed countries: UN classification,,,
Lebanon,0.3,0.6,
Lesotho,0.466403415957,0.7,0.693365857013
Liberia,0.593739601658,0.7,0.693156830347
Libya,0.3,0.7,
Liechtenstein,0.105,0.1,
Lithuania,0.3,0.3058952,0.30548076744
Low & middle income,,,
Low income,,,
Lower middle income,,,
