country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,fa_glofris,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,9960.940725814,2897366.000000000,0.574070000,0.000000000,0.175000000,0.185279986,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.073679939,1.000000000,0.195849799,1.118347495,98.374052898,285025636.150050759,0.000002108,6.106250349,0.000000000,0.445400790,49804.703629068,98.374052898,110.016375593,110.016375593,98.374052898,0.000002108,0.004814004,5.000000000,0.000000000,0.000000000,268807.790284583,3.390340937,0.000000000,1.024928548,2.106000000,2.106000000,142.556567618,413038552.093106031,0.014311557,0.690070297,0.009875980
Angola,7488.011759834,21471618.000000000,0.440500000,0.000000000,0.175000000,0.432397391,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.017032879,1.000000000,0.125668031,1.351790414,11.164153915,239712448.147350788,0.000000811,17.421895641,0.000000000,0.896867210,37440.058799170,11.164153915,15.091596243,15.091596243,11.164153915,0.000000811,0.001542735,5.000000000,0.000000000,0.000000000,86587.152511957,3.397525854,0.000000000,0.647070725,3.100000000,3.100000000,35.772726277,768098313.443517923,0.004777333,0.312085633,0.001490937
Argentina,18087.196261682,41446246.000000000,0.917510000,0.733333333,0.375000000,0.269549515,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.072057817,1.000000000,0.151061906,1.197953886,79.599473687,3299099367.897396088,0.000000862,35.747355171,0.000000000,0.245851118,90435.981308411,79.599473687,95.356498832,95.356498832,79.599473687,0.000000862,0.003087026,5.000000000,0.000000000,0.000000000,335507.861503426,3.395290197,3.200000000,0.795328583,2.289015650,1.996021647,142.754546161,5916640037.803961754,0.007892575,0.557596769,0.004400874
Armenia,7526.836419113,2976566.000000000,0.626730000,0.400000000,0.425000000,0.366695721,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.038000519,1.000000000,0.269617356,1.289724411,54.764995623,163011623.961172998,0.000001749,5.205128655,0.000000000,0.051470236,37634.182095564,54.764995623,70.631751744,70.631751744,54.764995623,0.000001749,0.011310232,5.000000000,0.000000000,0.000000000,102630.546029214,3.381010678,1.600000000,1.493113134,1.250000000,1.170000000,77.697871984,231272844.020690769,0.010322779,0.704845503,0.007275965
Australia,42834.016759738,23129300.000000000,0.894230000,0.800000000,0.916666667,0.273602391,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.041090368,1.000000000,0.225160277,1.201782492,86.898029774,2009890600.056803703,0.000000203,4.694091758,0.000000000,3.262027200,214170.083798692,86.898029774,104.432530786,104.432530786,86.898029774,0.000000203,0.001290156,5.000000000,0.000000000,0.000000000,782778.553672093,3.398102369,4.000000000,1.408202720,2.854400000,2.397696000,122.356841667,2830028097.978492737,0.002856534,0.710201641,0.002028715
Austria,44056.254416802,8479823.000000000,0.659680000,0.800000000,0.891666667,0.232278518,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.079219205,1.000000000,0.473076770,1.162745317,104.231475133,883864460.159538984,0.000000234,1.985753801,0.000000000,2.709641400,220281.272084010,104.231475133,121.194659564,121.194659564,104.231475133,0.000000234,0.002349209,5.000000000,0.000000000,0.000000000,948349.738857153,3.396649303,4.000000000,2.420787920,1.528000000,1.283520000,147.294105513,1249027943.694479942,0.003343319,0.707641862,0.002365872
Azerbaijan,16593.188760048,9416801.000000000,0.546200000,0.000000000,0.250000000,0.598221283,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.057127716,1.000000000,0.428208034,1.508438278,43.913813930,413527646.932020068,0.000000491,4.624438003,0.000000000,0.099865936,82965.943800241,43.913813930,66.241277879,66.241277879,43.913813930,0.000000491,0.006641822,5.000000000,0.000000000,0.000000000,138687.716623000,3.386834031,0.000000000,2.418205620,1.250000000,1.250000000,71.424014855,672585734.514442205,0.004304418,0.614832616,0.002646496
Bangladesh,2853.447740156,156594962.000000000,0.342770000,0.733333333,0.616666667,0.289708908,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.220012000,1.000000000,0.073405770,1.216997739,64.825740810,10151384418.779010773,0.000009662,1512.951742090,0.000000000,0.874902100,14267.238700778,64.825740810,78.892779992,78.892779992,64.825740810,0.000009662,0.017630744,5.000000000,0.000000000,0.000000000,49246.807140851,3.374241622,3.200000000,0.365761540,2.362140790,2.059786769,100.201042031,15690978369.139099121,0.035115780,0.646956753,0.022718391
Belarus,17054.558334453,9466000.000000000,0.766670000,0.733333333,0.516666667,0.386444537,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.035635038,1.000000000,0.335363861,1.308380407,61.848123624,585454338.228680849,0.000000646,6.110969957,0.000000000,0.385487160,85272.791672263,61.848123624,80.920873145,80.920873145,61.848123624,0.000000646,0.005167038,5.000000000,0.000000000,0.000000000,220659.845235653,3.392300383,3.200000000,1.770977248,1.880000000,1.639360000,97.842533225,926177419.505260348,0.005737031,0.632118994,0.003626486
Belgium,40608.972009343,11182817.000000000,0.978580000,0.000000000,0.425000000,0.216691517,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.100992023,1.000000000,0.465199357,1.148020838,26.800171983,299701418.853071570,0.000000062,0.697784228,0.000000000,2.107730200,203044.860046714,26.800171983,30.767155898,30.767155898,26.800171983,0.000000062,0.000513627,5.000000000,0.000000000,0.000000000,937022.650668867,3.398971477,0.000000000,2.472036530,1.540000000,1.540000000,34.757592032,388687791.049382448,0.000855909,0.771059513,0.000659957
